Product ID,Product Name,Manufacturer,Estimated Wholesale Price,Match Score,Description,Specifications,Quantity,NAICS Code,Contract ID,Solicitation Title,Solicitation URL,Location,Date Added
94,Respiratory Air Management Program (RAMP) Maintenance Services,,,,This is a sole-source solicitation for Respiratory Air Management Program (RAMP) Maintenance Services for the Commander Navy Region Hawaii (CNRH) at Joint Base Pearl Harbor Hickam. The requirement ...,,,,0ed2037819ce45c79c530730a656b297,Respiratory Air Management Program (RAMP) Maintenance Services,https://sam.gov/workspace/contract/opp/0ed2037819ce45c79c530730a656b297/view,,2025-12-04 18:10:06
95,FCI MANCHESTER FY26 2ND QTR MEAT/SUBS/KOSHER REQUIREMENT,,,,"The U.S. Department of Justice, Federal Bureau of Prisons is seeking quotes for a wide range of subsistence items for the Federal Correctional Institute (FCI) in Manchester, KY. The required items ...",,,,cd2b2480bff64c48b7d9254c1ea297a6,FCI MANCHESTER FY26 2ND QTR MEAT/SUBS/KOSHER REQUIREMENT,https://sam.gov/workspace/contract/opp/cd2b2480bff64c48b7d9254c1ea297a6/view,,2025-12-04 18:10:06
96,FA821226Q0315 SOLICITATION,,,,"The O_HL/PZABA at Hill AFB, Utah, intends to issue a sole-source, firm-fixed-price contract for a DISK CARTRIDGE, NSN 7045016270971WF. The government plans to solicit and negotiate directly with EL...",,,,06f799f3dd854aef8ad6039a197f6811,FA821226Q0315 SOLICITATION,https://sam.gov/workspace/contract/opp/06f799f3dd854aef8ad6039a197f6811/view,,2025-12-04 18:10:06
97,"Warehousing and Distribution Services at DLA Distribution San Diego, CA",,,,"DLA Distribution is seeking a contractor for a five-year, hybrid IDIQ contract to provide comprehensive warehouse and distribution support services. The performance location is the DLA Distribution...",,,,62175808b0f445209a22ab410c174c3c,"Warehousing and Distribution Services at DLA Distribution San Diego, CA",https://sam.gov/workspace/contract/opp/62175808b0f445209a22ab410c174c3c/view,,2025-12-04 18:10:06
98,Annual Medical Gas Inspection and Repairs,,,,"The Department of Veterans Affairs is seeking a Service-Disabled Veteran-Owned Small Business (SDVOSB) to provide annual inspection, testing, certification, and repair services for the Medical Gas ...",,,,70df0d137b95495ba1cb227a5f92d5f7,Annual Medical Gas Inspection and Repairs,https://sam.gov/workspace/contract/opp/70df0d137b95495ba1cb227a5f92d5f7/view,,2025-12-04 18:10:06
99,"Computer, Present Po",,,,"The U.S. Air Force is seeking to procure four (4) units of a Gear and Shaft Assembly, identified as NSN 6610-01-653-7583 and Part Number CB23710-001. This spare part is for the KC-46 aircraft and p...",,,,a0eae76e008348ce88bc62f68ee97295,"Computer, Present Po",https://sam.gov/workspace/contract/opp/a0eae76e008348ce88bc62f68ee97295/view,,2025-12-04 18:10:06
100,2510--UTV-Mini Ambulance,,,,"The Department of Veterans Affairs (VA), Network Contracting Office 22 (NCO 22) is issuing a Sources Sought Notice for market research purposes to identify sources capable of providing one UTV-Mini...",,,,595a7af65d6746ffbf0f066292e93845,2510--UTV-Mini Ambulance,https://sam.gov/workspace/contract/opp/595a7af65d6746ffbf0f066292e93845/view,,2025-12-04 18:10:06
101,J065--Digital Duet Maintenance,,,,This is a request for quote for a firm-fixed-price contract to provide a Gold Service Plan for a Digital Duet YAG Eye Laser system for the Department of Veterans Affairs Eastern Colorado Health Car...,,,,fe7baf612f6a4bbdbee5e37c1cd15788,J065--Digital Duet Maintenance,https://sam.gov/workspace/contract/opp/fe7baf612f6a4bbdbee5e37c1cd15788/view,,2025-12-04 18:10:06
102,"Friday Harbor, Washington - BLM Office Space Lease",,,,"The Bureau of Land Management's San Juan Islands National Monument is seeking expressions of interest to lease 900-1,200 square feet of office space in Friday Harbor, WA. The required space must ac...",,,,bba089ecf92a489fa77d5ac7899407cb,"Friday Harbor, Washington - BLM Office Space Lease",https://sam.gov/workspace/contract/opp/bba089ecf92a489fa77d5ac7899407cb/view,,2025-12-04 18:10:06
103,Ft Carson BASOPS (Base Operations Services),,,,"The Mission and Installation Contracting Command is issuing a solicitation for a contractor to provide comprehensive Base Operations Support Services at the U.S. Army Fort Carson, CO. The required ...",,,,38e801bc60b34146b6622d530f143ede,Ft Carson BASOPS (Base Operations Services),https://sam.gov/workspace/contract/opp/38e801bc60b34146b6622d530f143ede/view,,2025-12-04 18:10:06
104,6515--FY26 Fluent Pro System,Hologic,"$2,500 (System Estimate)",0.76 (Fuzzy: Fluent Pro System),"The provided solicitation document is minimal and lacks specific details. It contains only section headers for 'GENERAL INFORMATION', 'AWARD INFORMATION', and 'ADDITIONAL INFORMATION' without any d...",,,,12821efadfd5463aabcb93577090fa0a,6515--FY26 Fluent Pro System,https://sam.gov/workspace/contract/opp/12821efadfd5463aabcb93577090fa0a/view,,2025-12-04 18:10:06
105,Pineville Greenhouse Transformer Replacement (LA),,,,"The USDA Forest Service is soliciting for the SRS Pineville Greenhouse Transformer Replacement project at the Alexandria Forestry Center in Pineville, LA. The project requires a contractor to remov...",,,,6440d4b78d504f28b5d19d7df63003e9,Pineville Greenhouse Transformer Replacement (LA),https://sam.gov/workspace/contract/opp/6440d4b78d504f28b5d19d7df63003e9/view,,2025-12-04 18:10:06
106,Z2NE--660-23-101 | Rehabilitate Domestic Water Lines | Construction,,,,"This is a pre-solicitation notice for a construction project at the Salt Lake City VA Medical Center, set aside 100% for Service-Disabled Veteran-Owned Small Businesses (SDVOSB). The project involv...",,,,4bd12b569eb0440a95dd4231ea5931ec,Z2NE--660-23-101 | Rehabilitate Domestic Water Lines | Construction,https://sam.gov/workspace/contract/opp/4bd12b569eb0440a95dd4231ea5931ec/view,,2025-12-04 18:10:06
107,"BOLT,SHAFT",,,,"This solicitation is a total small business set-aside for the manufacture of a 'BOLT, SHAFT,' part number 13957-201-3. The contractor must adhere to multiple military drawings and specifications, i...",,,,1b333625e80d45679ad3e4df5ca5447b,"BOLT,SHAFT",https://sam.gov/workspace/contract/opp/1b333625e80d45679ad3e4df5ca5447b/view,,2025-12-04 18:10:06
108,Multisim Power Pro Edition License,,,,The Naval Research Laboratory (NRL) is issuing a Request for Quotations (RFQ) for the purchase of Multisim Power Pro Edition perpetual software licenses. This is a total small business set-aside co...,,,,256796cbbc834221a627636d5d9dd67c,Multisim Power Pro Edition License,https://sam.gov/workspace/contract/opp/256796cbbc834221a627636d5d9dd67c/view,,2025-12-04 18:10:06
109,Cannon AFB - Operation and Maintenance of Wastewater Treatment Plant,,,,"This solicitation is for the comprehensive operation and maintenance of the Wastewater Treatment Plant (WWTP) at Cannon AFB, NM. The selected contractor will be responsible for providing all manage...",,,,f00bb4f15d5a41ab82595aa9a28ce9cc,Cannon AFB - Operation and Maintenance of Wastewater Treatment Plant,https://sam.gov/workspace/contract/opp/f00bb4f15d5a41ab82595aa9a28ce9cc/view,,2025-12-04 18:10:06
110,6515--SUPPLY-HEART VALVE- INDIANAPOLIS,,,,"The provided solicitation documents are blank or contain only section headers without any specific details. It is not possible to determine the required products, services, delivery location, or ov...",,,,aa139f97e69c4936a3b7928b503946ac,6515--SUPPLY-HEART VALVE- INDIANAPOLIS,https://sam.gov/workspace/contract/opp/aa139f97e69c4936a3b7928b503946ac/view,,2025-12-04 18:10:06
111,6640--Aerospray Hematology Pro Slide Stainer / Cytocentrifuge,Wescor / Elitech,"$10,600 (Market Estimate)",0.63 (Fuzzy: Aerospray Hematology Stainer),The Gulf Coast Veterans Healthcare System (GCVHCS) is seeking to purchase one Aerospray Hematology Pro Slide Stainer / Cytocentrifuge to be used as a backup unit for its laboratory. The required eq...,,,,c5cd879a8650419dac0809820eb7e6b1,6640--Aerospray Hematology Pro Slide Stainer / Cytocentrifuge,https://sam.gov/workspace/contract/opp/c5cd879a8650419dac0809820eb7e6b1/view,,2025-12-04 18:10:06
112,6640--Aerospray Hematology Pro Slide Stainer / Cytocentrifuge,Wescor / Elitech,"$10,600 (Market Estimate)",0.63 (Fuzzy: Aerospray Hematology Stainer),"This solicitation is for the procurement of an Aerospray Slide Stainer. The provided documents are minimal and do not contain detailed specifications, quantity, delivery location, or contact inform...",,,,9d62c96d26d44ee1a57c5257921a3737,6640--Aerospray Hematology Pro Slide Stainer / Cytocentrifuge,https://sam.gov/workspace/contract/opp/9d62c96d26d44ee1a57c5257921a3737/view,,2025-12-04 18:10:06
113,VDATS POWER SUPPLIES,,,,"This is a sole-source, combined synopsis/solicitation for commercial HPC-4K Power Supply kits from the original equipment manufacturer, Tracewell Technology. The U.S. Air Force requires five upper ...",,,,322868c864c6445c994a6198eb1ff0a0,VDATS POWER SUPPLIES,https://sam.gov/workspace/contract/opp/322868c864c6445c994a6198eb1ff0a0/view,,2025-12-04 18:10:06
114,"7830--TRM 835 TREADMILL. MUST COMPLETE BUY AMERICAN CERTIFICATE. ""BRAND NAME OR EQUAL TO PRECOR IAW SOW"". OEM LETTER FROM THE MANUFACTURER IS REQUIRED. IF NO OEM LETTER VENDOR WILL BE CONSIDERED NON-RESPONSIVE.",,,,"This is a Request for Information (RFI) for market research purposes issued by the U.S. Department of Veterans Affairs for the Baltimore VA Medical Center. The requirement is for six treadmills, br...",,,,fba041ccf6724611b61638c184ded9e4,"7830--TRM 835 TREADMILL. MUST COMPLETE BUY AMERICAN CERTIFICATE. ""BRAND NAME OR EQUAL TO PRECOR IAW SOW"". OEM LETTER FROM THE MANUFACTURER IS REQUIRED. IF NO OEM LETTER VENDOR WILL BE CONSIDERED NON-RESPONSIVE.",https://sam.gov/workspace/contract/opp/fba041ccf6724611b61638c184ded9e4/view,,2025-12-04 18:10:06
115,"TRANSMITTER, RATE OF FLOW",,,,"This solicitation is for the procurement of RATE OF FLOW TRANSMITTERS for the F-16 Aircraft. The request is for a base quantity of 131 units, with a total possible range of 33 to 197 units, to be d...",,,,2f042eed71674688a9a02e2d9b0ab4c6,"TRANSMITTER, RATE OF FLOW",https://sam.gov/workspace/contract/opp/2f042eed71674688a9a02e2d9b0ab4c6/view,,2025-12-04 18:10:06
116,Notice of Intent to Sole Source – Roberts Oxygen Co.,,,,"The National Institutes of Health (NIH) Clinical Center intends to award a sole source, firm-fixed-price purchase order to Roberts Oxygen Co. Inc. for the supply of liquid nitrogen and the monthly ...",,,,9b52f5cee683485e8a6709052a783484,Notice of Intent to Sole Source – Roberts Oxygen Co.,https://sam.gov/workspace/contract/opp/9b52f5cee683485e8a6709052a783484/view,,2025-12-04 18:10:06
117,"42--PARTS KIT,RESPIRATO",,,,"This is a proposed procurement for a respirator parts kit, NSN 4240016279269. The solicitation is an RFQ broken into five line items with a total quantity of 68 units. Deliveries are required to tw...",,,,0f4d90002126411c90cf2cae25468c52,"42--PARTS KIT,RESPIRATO",https://sam.gov/workspace/contract/opp/0f4d90002126411c90cf2cae25468c52/view,,2025-12-04 18:10:06
118,Electron Microscopes,,,,"The Commander Fleet Readiness Centers (COMFRC) Procurement Group intends to award a sole-source purchase order to JEOL USA, Inc. for the maintenance of three specific models of electron microscopes...",,,,60c8d609a18545adac17993062cc30ef,Electron Microscopes,https://sam.gov/workspace/contract/opp/60c8d609a18545adac17993062cc30ef/view,,2025-12-04 18:10:06
119,Notice of Intent to Sole Source – Agilent Technologies,,,,"The National Institutes of Health (NIH) intends to award a sole-source, firm-fixed-price purchase order to Agilent Technologies, Inc. for a one-year renewal of a software maintenance agreement for ...",,,,3cb52c618b614eea824d3c44f1f108ed,Notice of Intent to Sole Source – Agilent Technologies,https://sam.gov/workspace/contract/opp/3cb52c618b614eea824d3c44f1f108ed/view,,2025-12-04 18:10:06
120,"Procurement of Propeller Assemblies, Spare Parts and Components",,,,"The United States Coast Guard (USCG), Aviation Logistics Center (ALC) has issued a sole-source Request for Proposal (RFP) for an Indefinite Delivery Requirements contract to procure unspecified sup...",,,,14ac6dcd24864f6890f12c3f1dddb918,"Procurement of Propeller Assemblies, Spare Parts and Components",https://sam.gov/workspace/contract/opp/14ac6dcd24864f6890f12c3f1dddb918/view,,2025-12-04 18:10:06
121,Protective Security Officer (PSO) services in various locations throughout Kentucky,,,,"The Federal Protective Service Acquisitions Division intends to issue a sole source contract extension of up to two months to Patronus Systems, Inc. for continued armed Protective Security Officer ...",,,,d207481655d8418e975a4b5831e53be2,Protective Security Officer (PSO) services in various locations throughout Kentucky,https://sam.gov/workspace/contract/opp/d207481655d8418e975a4b5831e53be2/view,,2025-12-04 18:10:06
122,"Solicitation, Service Repair, Paladin Digital Fire Control System",,,,"This is a solicitation for a single, five-year Requirements contract for the component-level repair of four specific Paladin Digital Fire Control System (PDFCS) components. The contract is intended...",,,,63b8cc72657b419d9a12d7ab48459e33,"Solicitation, Service Repair, Paladin Digital Fire Control System",https://sam.gov/workspace/contract/opp/63b8cc72657b419d9a12d7ab48459e33/view,,2025-12-04 18:10:06
123,95--ARMOR PLATE,,,,"This is a proposed procurement for 22 units of ARMOR PLATE, identified by NSN 9515013956116. The approved source for this item is 3226A 6669323. The solicitation is an RFQ, and all responsible sour...",,,,2f41450b153c45adb9f6550d871bb0fd,95--ARMOR PLATE,https://sam.gov/workspace/contract/opp/2f41450b153c45adb9f6550d871bb0fd/view,,2025-12-04 18:10:06
124,HIGH VOLTAGE DB25 CABLE ASSEMBLY,,,,"The Naval Surface Warfare Center (NSWC) Crane intends to issue a sole-source solicitation to Pickering Interfaces, INC. for the procurement of 26 units of a High Voltage DB25 Cable Assembly, part n...",,,,9781c161862f4e3abf05816f806d6ce9,HIGH VOLTAGE DB25 CABLE ASSEMBLY,https://sam.gov/workspace/contract/opp/9781c161862f4e3abf05816f806d6ce9/view,,2025-12-04 18:10:06
125,6515--Mattresses & Bed Covers,,,,The Department of Veterans Affairs is seeking to procure brand-name-only mattresses and bed covers for the Iowa City VA Health Care System. These items are required for the Operating Rooms to suppo...,,,,e4844614512a4147a871f18a0189ef5f,6515--Mattresses & Bed Covers,https://sam.gov/workspace/contract/opp/e4844614512a4147a871f18a0189ef5f/view,,2025-12-04 18:10:06
126,TACLANE-FLEX Customizable Encryption Platform,,,,The Naval Surface Warfare Center Philadelphia has a sole source requirement for a TACLANE-FLEX Customizable Encryption Platform with 1 Gb/s - Single Mode capabilities. The government intends to sol...,,,,535b231e8fda488fb1bbab03b481fd86,TACLANE-FLEX Customizable Encryption Platform,https://sam.gov/workspace/contract/opp/535b231e8fda488fb1bbab03b481fd86/view,,2025-12-04 18:10:06
127,Notice of Intent to Sole Source – Solventum,,,,"This is a notice of intent from the National Institutes of Health (NIH) Clinical Center to issue a sole source, firm-fixed-price purchase order to Solventum Health Information Systems, Inc. The acq...",,,,4ba56ca3ea2947b4b9d474aec2725e17,Notice of Intent to Sole Source – Solventum,https://sam.gov/workspace/contract/opp/4ba56ca3ea2947b4b9d474aec2725e17/view,,2025-12-04 18:10:06
128,95--ARMOR PLATE,,,,"This is a proposed procurement for 22 units of ARMOR PLATE, NSN 9515013956119. The required delivery is within 20 days ADO to the GENERAL DEPOT OF NAVAL SUPPLIES. The approved source for this item ...",,,,d04015c73cc34bf694b9d197ffe141ee,95--ARMOR PLATE,https://sam.gov/workspace/contract/opp/d04015c73cc34bf694b9d197ffe141ee/view,,2025-12-04 18:10:06
129,"1377 - 1377-01-170-1407; MW19; Cartridge Assembly, SEAWARS; DWG 851AS275",,,,"The U.S. Navy is soliciting 330 units of an explosive ordnance item, NSN 1377-01-170-1407. This unrestricted procurement requires a pre-award safety survey and adherence to specific safety and secu...",,,,921985377e56488eb643c42b870d7851,"1377 - 1377-01-170-1407; MW19; Cartridge Assembly, SEAWARS; DWG 851AS275",https://sam.gov/workspace/contract/opp/921985377e56488eb643c42b870d7851/view,,2025-12-04 18:10:06
130,BUSHING,,,,"This solicitation is for the manufacture of a BUSHING, identified by NAVAL SEA SYSTEMS COMMAND P/N 5677126-101 and GATES CORPORATION P/N 1008.5/8. The contractor must adhere to the requirements spe...",,,,bf409b374a204a63bd2a82c95aa75617,BUSHING,https://sam.gov/workspace/contract/opp/bf409b374a204a63bd2a82c95aa75617/view,,2025-12-04 18:10:06
131,4110--UNDERCOUNTER MEDICAL GRADE REFRIGERATORS,,,,The Department of Veterans Affairs (VA) is issuing a Request for Information (RFI) / Sources Sought notice to identify potential sources capable of providing a Follett 3.9 cu ft Undercounter Medica...,,,,ba8f694b9bd049b59c61ac08f65ce325,4110--UNDERCOUNTER MEDICAL GRADE REFRIGERATORS,https://sam.gov/workspace/contract/opp/ba8f694b9bd049b59c61ac08f65ce325/view,,2025-12-04 18:10:06
132,"LT HAND LOCKNUT,TUR",,,,"This solicitation is a total small business set-aside for the manufacture of a LT HAND LOCKNUT,TUR, part number 7124347-002 (CAGE 53711). The procurement requires adherence to specific military sta...",,,,5e73b1b392884f9494bd68a0013cf8f9,"LT HAND LOCKNUT,TUR",https://sam.gov/workspace/contract/opp/5e73b1b392884f9494bd68a0013cf8f9/view,,2025-12-04 18:10:06
133,"TURNBUCKLE,BODY",,,,"This solicitation is a total small business set-aside for the manufacture of a TURNBUCKLE, BODY, part number 7124345-001. The contractor must adhere to specific technical drawings, military standar...",,,,21005d6c71504f4b86db1363ac48208e,"TURNBUCKLE,BODY",https://sam.gov/workspace/contract/opp/21005d6c71504f4b86db1363ac48208e/view,,2025-12-04 18:10:06
134,Philips CVX Excimer Laser System Service Maintenance,,,,"This solicitation is for service and maintenance of a Philips CVX Excimer Laser System. The required services likely include preventative maintenance, repairs, and technical support for the specifi...",,,,0647d3ec30794c04bb10d0c3ccc0f6ec,Philips CVX Excimer Laser System Service Maintenance,https://sam.gov/workspace/contract/opp/0647d3ec30794c04bb10d0c3ccc0f6ec/view,,2025-12-04 18:10:06
135,6515--36C25926Q0122| Sources Sought on Medical Labelling System for Rocky Mountain Regional VA Medical Center,,,,"The Department of Veterans Affairs, NCO 19, is conducting market research for the procurement of 13 medication labeling systems for the Rocky Mountain Regional VA Medical Center in Aurora, CO. The ...",,,,c0c4cb0ece4d401984c3568675f53e4f,6515--36C25926Q0122| Sources Sought on Medical Labelling System for Rocky Mountain Regional VA Medical Center,https://sam.gov/workspace/contract/opp/c0c4cb0ece4d401984c3568675f53e4f/view,,2025-12-04 18:10:06
136,Nitrogen Generator System and Nitrogen Storage Banks,,,,"The Air Force Sustainment Center at Robins AFB, GA is seeking to procure a Nitrogen Generator System and two High Pressure Nitrogen Storage Banks. The generator system must be skid-mounted, produce...",,,,29c5b0339f4140e3ac4d40b9e2970bdc,Nitrogen Generator System and Nitrogen Storage Banks,https://sam.gov/workspace/contract/opp/29c5b0339f4140e3ac4d40b9e2970bdc/view,,2025-12-04 18:10:06
137,Joint Standoff Weapon (JSOW) United States Navy (USN) FY26 Repair of Repairables,,,,"The Naval Air System Command (NAVAIR) intends to issue a sole-source delivery order to Raytheon Company for engineering and technical support services. The scope of work involves investigating, ana...",,,,d35ce0a823a945548aaeb0a930e10704,Joint Standoff Weapon (JSOW) United States Navy (USN) FY26 Repair of Repairables,https://sam.gov/workspace/contract/opp/d35ce0a823a945548aaeb0a930e10704/view,,2025-12-04 18:10:06
138,6515--Supplies - Orthotics - VISN 10 Sites,,,,The Department of Veterans Affairs seeks to establish multiple 5-year Blanket Purchase Agreements (BPAs) for a comprehensive range of commercial orthotic appliances and related services for its Vet...,,,,c74c13d71f7b41a6bb872989bc546f65,6515--Supplies - Orthotics - VISN 10 Sites,https://sam.gov/workspace/contract/opp/c74c13d71f7b41a6bb872989bc546f65/view,,2025-12-04 18:10:06
139,Q513--Onsite Orthopedic Surgery Services for the Oklahoma City VA,,,,This solicitation is for Onsite Orthopedic Surgery Services at the Oklahoma City VA Healthcare System (OKC VA). The requirement is for 2.0 Full-Time Equivalent (FTE) General Orthopedic Surgeons to ...,,,,48014b4780f341629b37581243b4fe6e,Q513--Onsite Orthopedic Surgery Services for the Oklahoma City VA,https://sam.gov/workspace/contract/opp/48014b4780f341629b37581243b4fe6e/view,,2025-12-04 18:10:06
140,ARM AY,,,,"This solicitation is a total small business set-aside for the manufacture of an ARM AY / ROLLER ARM ASSEMBLY DEPARTURE SWITCH (P/N: 2487728, CAGE: 10001). The contract requires production in accord...",,,,51c74fb4aa1b4ddd8688d770b76361db,ARM AY,https://sam.gov/workspace/contract/opp/51c74fb4aa1b4ddd8688d770b76361db/view,,2025-12-04 18:10:06
141,Request for Information (RFI) - Equipment Maintenance Database,,,,The U.S. Army Contracting Command is conducting market research for a commercial subscription to an Equipment Maintenance Database suite on behalf of the Program Executive Office (PEO) Soldier. The...,,,,e79860e790ad49cdbb03238b63746af6,Request for Information (RFI) - Equipment Maintenance Database,https://sam.gov/workspace/contract/opp/e79860e790ad49cdbb03238b63746af6/view,,2025-12-04 18:10:06
142,"79--CLOTH,CLEANING",,,,"No information was provided in the solicitation document. The content was blank, preventing the extraction of any details regarding the soliciting entity, required products or services, delivery lo...",,,,a959b8d8d020406b8404ec5c3ac11ab2,"79--CLOTH,CLEANING",https://sam.gov/workspace/contract/opp/a959b8d8d020406b8404ec5c3ac11ab2/view,,2025-12-04 18:10:06
143,PSO Services IRS Kentucky,,,,"The Federal Protective Service Acquisitions Division is issuing a sole source contract extension of up to six months to Hana Industries, Inc. for continued armed Protective Security Officer (PSO) s...",,,,ab4d3aee497e455db497d491cbe119f1,PSO Services IRS Kentucky,https://sam.gov/workspace/contract/opp/ab4d3aee497e455db497d491cbe119f1/view,,2025-12-04 18:10:06
144,BRIDGE JUSTIFICATION FOR AN EXCEPTION TO FAIR OPPORTUNITY (ORASE/OGD IT Grants Management Systems),,,,"The U.S. Environmental Protection Agency (EPA) is issuing a justification for a four-month bridge contract extension with the incumbent, Science Applications International Corporation (SAIC), for t...",,,,571d829b4bda49f395aec414f94be927,BRIDGE JUSTIFICATION FOR AN EXCEPTION TO FAIR OPPORTUNITY (ORASE/OGD IT Grants Management Systems),https://sam.gov/workspace/contract/opp/571d829b4bda49f395aec414f94be927/view,,2025-12-04 18:10:06
145,J065--Intent to Sole Source IPack Service Agreement Northern Indiana Healthcare System,,,,"This is a Notice of Intent to award a sole source, non-competitive contract to Pearson Medical Technologies for IPack Maintenance Services. The services are required for the VA Northern Indiana Hea...",,,,9dca89b00f73484a8a9f8651e3542434,J065--Intent to Sole Source IPack Service Agreement Northern Indiana Healthcare System,https://sam.gov/workspace/contract/opp/9dca89b00f73484a8a9f8651e3542434/view,,2025-12-04 18:10:06
146,"79--CLOTH,CLEANING",,,,"The provided solicitation document is blank and contains no information regarding the soliciting entity, contact details, product requirements, or delivery location. Therefore, the scope and key re...",,,,a3fb3d42543f40e09d3b12407d7d26da,"79--CLOTH,CLEANING",https://sam.gov/workspace/contract/opp/a3fb3d42543f40e09d3b12407d7d26da/view,,2025-12-04 18:10:06
147,"J065--Preventative Maintenance for Consolidated Injectors, Durham VAMC",,,,"The Department of Veterans Affairs, NCO 6, is seeking a firm-fixed-price contract for preventative maintenance and repair services for specific Bayer Medrad Injectors located at the Durham VA Medic...",,,,d8183b639ea745d89b8dad1a8c7a5ca8,"J065--Preventative Maintenance for Consolidated Injectors, Durham VAMC",https://sam.gov/workspace/contract/opp/d8183b639ea745d89b8dad1a8c7a5ca8/view,,2025-12-04 18:10:06
